CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,ANG,STA,SHE
19.3,15.9,12.79,15.6,14.65,16.81,18.12,13.78,15,16,16.49,15.5,17
11.8,12.03,12.36,17,13.88,14.46,14.54,11,16,18,17.59,16.5,11
12.9,10.07,6.5,13.9,7.42,9.69,13.65,11.44,13,16,16,,10
14.2,13.69,10.64,17,12.5,14.5,16.46,15.44,12.5,16.5,13,,16.5
7.8,12.16,10.36,15.6,13.46,11.38,10.5,8.67,11,16.5,14,,16
14,15.49,10.57,16.4,11.77,12.5,14.81,10.5,13.5,17,14,17,16.5
17.8,12.29,12.86,15.6,14.5,12.77,16.85,12.06,14,17.5,15,,16.25
7.4,13.84,12.86,16.4,15.04,11.69,16.35,13.42,12,16.5,12.5,,15
10.7,15.71,12.86,15.6,12.62,15.85,15.46,12.89,14.5,15.5,14.36,15,14
9.1,15.46,14.36,16.4,17.23,16.85,15.73,11,14.5,14,13,16.5,17.5
17.9,16.86,13.21,10.5,13.35,16.42,17.92,11.61,17,16.5,17.2,,15
9.4,13.86,14.07,15.6,16.15,12,17,10.78,13,16,15,,14
10.6,10.71,11.29,15.6,12.27,10.62,15.69,11.72,15,16,15,,14
15.8,18.09,14.29,10.5,14.96,13.85,18.46,15.17,14.5,17,16,,11.5
15.4,12.14,10.43,15.6,11.73,10.58,15.92,13.44,14.5,15.5,14,18,14
13.2,16.43,11.36,10.5,12.12,16.19,15.46,10.61,16.5,16,14,,15.5
11.7,14.36,11.64,15.6,15.58,13.5,16.96,11.11,15,17.5,14,14.5,15
8.2,14.65,13,16.8,16.12,15.15,13.46,13.67,16,17,16.38,17,14
17.6,11.56,10.57,16.8,12.12,14.81,11.96,9.94,15.5,16.5,14,14,16
9.5,16.11,11.64,15.6,11.46,12.81,16.5,9.94,14.5,16.5,15,15.75,16
8.4,11.75,11.64,17,11.85,13.38,15.5,10.33,12,14.5,15.23,15.75,11.5
12,15.47,11.79,13.9,14.35,12.65,14.46,14.61,15,16.5,16.57,16.5,18.5
15.6,10.36,11.14,17,11.69,14.46,12.73,9.33,13,14.5,17.1,17,14.5
11,15.14,9.64,17,12.73,10.42,13.23,12.78,14,17,14.94,,16.8
19.6,17.64,13.93,15.6,15.23,14.85,16.81,12.61,14,16,15,16,20
1.96,4.95,6.71,16.4,8.42,5.19,4,13.25,,14,15.9,14.65,20
7.2,13.29,12.43,10.5,12.54,9.62,11.23,11.22,13,15,18.03,13.8,14.5
12.5,15.87,11.79,16.4,17.31,14.08,16.04,13,15,15.5,17.55,15,14
19,16.46,13.29,16.8,14.42,14.96,18.65,13.61,16,16.5,17.6,16.5,13
15.4,14.79,13.5,10.5,15.15,13.08,16.08,12.22,16.5,14.5,17.09,15.85,14
17.5,12.56,11.21,16.8,9.42,14.73,18.65,12.94,15,16,14,17,16.5
10.1,13.94,9.5,16.8,12.96,11.77,12.19,10.72,14.5,16,15,15.5,16.5
18.6,14.18,12.64,16.8,11.04,17.08,17.62,12.33,14,17.5,15,17,18
9.9,12.71,10.93,16.8,10.12,12.77,11.5,12.06,14.5,18,15,17,9.5
14.8,15.33,12.93,15.6,13.65,11.88,14.81,11.72,13.5,17,14,16.75,18
9.6,11.61,9.36,15.6,14.65,13.88,12.81,10.89,12.5,16.5,15,14,15
11.7,16.57,11.5,10.5,13.08,12.69,15.92,12.94,14.5,16,11,16.5,14.5
13.4,16.74,13.64,16.8,16.08,12.96,16.38,17.33,14.5,16,15.98,14.5,17.3
14.6,12,11.71,15.6,12.81,12.5,12.85,11.44,16,16,14.8,15.5,15
